332.563 0.398
333.076 0.373
333.896 0.335
334.922 0.322
336.357 0.308
337.587 0.295
338.818 0.278
339.433 0.26
340.048 0.243
340.663 0.226
341.074 0.211
342.304 0.193
343.124 0.178
344.56 0.161
346.2 0.148
348.046 0.135
350.097 0.118
352.147 0.104
355.223 0.092
359.53 0.088
362.811 0.083
366.297 0.084
368.142 0.084
370.193 0.076
371.628 0.065
372.449 0.057
374.704 0.049
378.396 0.05
380.241 0.046
382.702 0.045
385.163 0.047
386.803 0.054
388.034 0.058
389.469 0.054
390.7 0.047
391.52 0.037
392.545 0.029
394.391 0.021
397.877 0.015
400.338 0.011
403.824 0.01
408.13 0.008
412.027 0.009
415.718 0.01
418.999 0.007
421.87 0.005
425.766 0.005
429.662 0.005
433.353 0.004
438.685 0.004
443.402 0.004
448.733 0.004
453.45 0.004
458.166 0.003
462.678 0.003
467.805 0.002
473.136 0.002
477.443 0.001
481.954 0.002
486.671 0.001
490.977 0.001
494.873 0.001
499.077 0.001
