332.563 0.4
333.281 0.35
333.896 0.328
334.717 0.314
335.332 0.3
336.767 0.284
338.408 0.267
339.433 0.248
340.253 0.227
341.279 0.207
342.099 0.187
343.124 0.166
344.97 0.144
347.226 0.126
349.071 0.112
351.122 0.099
352.967 0.09
355.633 0.079
357.889 0.079
360.35 0.079
362.811 0.076
364.656 0.074
365.887 0.078
367.732 0.081
369.373 0.075
370.398 0.065
372.449 0.055
374.91 0.044
377.575 0.045
379.831 0.04
382.907 0.04
385.983 0.043
387.008 0.052
388.649 0.056
390.084 0.048
391.52 0.038
392.34 0.027
394.391 0.018
396.852 0.011
399.928 0.007
402.388 0.006
405.669 0.004
410.181 0.003
414.692 0.002
419.409 0.002
424.125 0.001
429.662 0.001
438.275 0.002
448.938 0.001
460.627 0.001
470.47 0
480.519 0
487.286 0
494.668 0
497.129 0
499.692 0
