332.973 1.598
333.691 1.496
334.306 1.379
335.127 1.293
336.152 1.221
337.998 1.159
338.613 1.094
339.638 1.02
340.663 0.957
341.279 0.883
341.894 0.813
343.124 0.738
344.97 0.638
347.021 0.569
349.481 0.497
351.327 0.437
354.608 0.371
357.274 0.353
359.324 0.353
360.965 0.342
362.811 0.332
365.066 0.323
367.322 0.337
368.758 0.328
369.988 0.297
371.628 0.256
373.269 0.216
374.91 0.198
377.575 0.205
379.216 0.188
381.062 0.174
383.522 0.176
385.163 0.191
386.188 0.213
387.829 0.23
389.059 0.227
389.674 0.202
391.11 0.16
392.955 0.112
395.211 0.077
398.697 0.049
403.004 0.039
407.72 0.037
413.052 0.039
416.538 0.035
420.024 0.026
425.151 0.021
431.713 0.019
437.66 0.018
445.862 0.012
455.911 0.009
463.703 0.009
469.855 0.004
477.238 0.004
482.774 0.002
489.131 0
494.053 -0.002
499.897 0.004
