332.563 1.6
333.281 1.398
333.896 1.314
334.717 1.256
335.332 1.201
336.767 1.136
338.408 1.07
339.433 0.991
340.253 0.908
341.279 0.829
342.099 0.748
343.124 0.666
344.97 0.578
347.226 0.502
349.071 0.45
351.122 0.395
352.967 0.36
355.633 0.316
357.889 0.316
360.35 0.316
362.811 0.306
364.656 0.297
365.887 0.313
367.732 0.323
369.373 0.3
370.398 0.26
372.449 0.22
374.91 0.177
377.575 0.179
379.831 0.16
382.907 0.158
385.983 0.172
387.008 0.207
388.649 0.223
390.084 0.193
391.52 0.151
392.34 0.107
394.391 0.074
396.852 0.044
399.928 0.03
402.388 0.023
405.669 0.018
410.181 0.012
414.692 0.009
419.409 0.007
424.125 0.005
429.662 0.004
438.275 0.009
448.938 0.005
460.627 0.005
470.47 0
480.519 0
487.286 0
494.668 -0.002
497.129 -0.002
499.692 -0.002
